t0,tf,steps,phases,linearTimeSpacing,elements,time,xComp,Rcrit_beta,Gcrit_beta,Rad_beta,avgR_beta,avgAR_beta,betaFrac_beta,nucRate_beta,precipitateDensity_beta,dGs_beta,xEqAlpha_beta,xEqBeta_beta,PSDdata_beta,PSDsize_beta,PSD_beta,PSDbounds_beta,eqAspectRatio_beta
,,,,,,318417.83483664715,0.00016761406137310398,2.165020992321106e-08,1.9634183209465597e-16,0.0,2.181153399988546e-08,1.0,0.0073344611898196205,0.0,1.6355396651421195e+20,9237785.854714205,0.00015592627648979669,0.25,,,,,
,,,,,,318858.09340822126,0.00016761095136660472,2.165567105023617e-08,1.9644089653080017e-16,0.0,2.1799616477073867e-08,1.0,0.007334473546889451,0.0,1.6355396651421198e+20,9235456.269920165,0.00015592627648979669,0.25,,,,,
,,,,,,319298.9607007546,0.00016760786106233944,2.1661178565955372e-08,1.9654082775885912e-16,0.0,2.1822442990277095e-08,1.0,0.0073344858256755765,0.0,1.6328890686553037e+20,9233108.08649027,0.00015592627648979669,0.25,,,,,
,,,,,,319740.4375558922,0.00016760474616363301,2.166665406878778e-08,1.9664020331881767e-16,0.0,2.1810497354795292e-08,1.0,0.007334498202183126,0.0,1.632889068655304e+20,9230774.735465279,0.00015592627648979669,0.25,,,,,
,,,,,,320182.5248164411,0.0001676016509981552,2.1672176056264435e-08,1.9674044797186678e-16,0.0,2.1833380321684396e-08,1.0,0.007334510500283823,0.0,1.6302376819924097e+20,9228422.7694072,0.00015592627648979669,0.25,,,,,
,,,,,,320625.22332637536,0.00016759853120617885,2.1677665948808687e-08,1.9684013530520416e-16,0.0,2.1821406542041663e-08,1.0,0.007334522896233312,0.0,1.6302376819924097e+20,9226085.66127588,0.00015592627648979669,0.25,,,,,
,,,,,,321068.53393083543,0.00016759543117591557,2.1683202438319904e-08,1.9694069433358917e-16,0.0,2.1844346019446554e-08,1.0,0.007334535213662773,0.0,1.6275855249189306e+20,9223729.914857032,0.00015592627648979669,0.25,,,,,
,,,,,,321512.4574761302,0.00016759230649665926,2.168870676102735e-08,1.9704069457385435e-16,0.0,2.1832344063828228e-08,1.0,0.007334547629030398,0.0,1.6275855249189306e+20,9221389.047484113,0.00015592627648979669,0.25,,,,,
,,,,,,321956.9948097389,0.0001675892016110011,2.1694257782327797e-08,1.971415689206457e-16,0.0,2.1855340109425264e-08,1.0,0.007334559965751309,0.0,1.624932617096619e+20,9219029.523247981,0.00015592627648979669,0.25,,,,,
,,,,,,322402.14678031224,0.00016758607205532436,2.1699776557777824e-08,1.9724188287898503e-16,0.0,2.1843309945718385e-08,1.0,0.007334572400493919,0.0,1.624932617096619e+20,9216684.902156124,0.00015592627648979669,0.25,,,,,
